Data type:Subtype:Sub-subtype,MESH ID,MeSH Tree No.s,Description,Best Practice,Most suitable repositories
Genetic Data:Microarray Analysis,D046228,E05.588.570,"The simultaneous analysis, on a microchip, of multiple samples or targets arranged in an array format.",XX,XX
Genetic Data:Microsatellite Repeats,D018895,"G02.111.570.080.708.800.500, G05.360.080.708.800.500, G05.360.340.024.850.500",A variety of simple repeat sequences that are distributed throughout the GENOME. They are characterized by a short repeat unit of 2-8 basepairs that is repeated up to 100 times. They are also known as short tandem repeats (STRs).,XX,XX
Genetic Data:Molecular Sequence Annotation,D058977,"E05.393.760.479, L01.453.245.667.580",The addition of descriptive information about the function or structure of a molecular sequence to its MOLECULAR SEQUENCE DATA record.,XX,XX
"Genetic Data:Polymorphism, Single Nucleotide",D020641,G05.365.795.598,A single nucleotide variation in a genetic sequence that occurs at appreciable frequency in the population.,XX,XX
Genetic Data:Read Counts,XX,XX,XX,XX,XX
Genetic Data:Sequence Alignment,D016415,E05.393.751,The arrangement of two or more amino acid or base sequences from an organism or organisms in such a way as to align areas of the sequences sharing common properties. The degree of relatedness or homology between the sequences is predicted computationally or statistically based on weights assigned to the elements aligned between the sequences. This in turn can serve as a potential indicator of the genetic relatedness between the organisms.,XX,XX
Genetic Data:Sequence Analysis,D017421,E05.393.760,"A multistage process that includes the determination of a sequence (protein, carbohydrate, etc.), its fragmentation and analysis, and the interpretation of the resulting sequence information.",XX,XX
Genetic Data:Sequence Analysis:Sanger,D017421,E05.393.760,"A multistage process that includes the determination of a sequence (protein, carbohydrate, etc.), its fragmentation and analysis, and the interpretation of the resulting sequence information.",XX,XX
Image,XX,XX,XX,XX,XX
Image:Computerized Tomography scan,D011859,E01.370.350.700,"Examination of any part of the body for diagnostic purposes by means of X-RAYS or GAMMA RAYS, recording the image on a sensitized surface (such as photographic film).",XX,XX
Image:Diagnostic Imaging,D003952,E01.370.350,"Any visual display of structural or functional patterns of organs or tissues for diagnostic evaluation. It includes measuring physiologic and metabolic responses to physical and chemical stimuli, as well as ultramicroscopy.",XX,
Image:Electrophoresis,D004586,"E05.196.401, E05.301.300",An electrochemical process in which macromolecules or colloidal particles with a net electric charge migrate in a solution under the influence of an electric current.,Provide gel image and any tabular data obtained by quantifying brightness/density of gel features,XX
Image:Magnetic Resonance Imaging:Functional MRI,D008279,E01.370.350.825.500,Non-invasive method of demonstrating internal anatomy based on the principle that atomic nuclei in a strong magnetic field absorb pulses of radiofrequency energy and emit them as radiowaves which can be reconstructed into computerized images. The concept includes proton spin tomographic techniques.,"Gel images should be high resolution 16-bit grayscale images, saved as GEL or IMG/IMF files (these contain additional grayscale calibration data) or as a 16-bit TIFF file. Ensure that the same imaging parameters are used for all gels from that study, and process them all in the same orientation. Limit image editing to cropping, mirroring, or rotation. ","Gel image data can be added to any repository able to host generic file types (e.g. Dryad <https://datadryad.org/>, Zenodo, <https://zenodo.org/> and FigShare <https://figshare.com/>)"
Image:Magnetic Resonance Imaging,D008279,E01.370.350.825.500,Non-invasive method of demonstrating internal anatomy based on the principle that atomic nuclei in a strong magnetic field absorb pulses of radiofrequency energy and emit them as radiowaves which can be reconstructed into computerized images. The concept includes proton spin tomographic techniques.,XX,XX
Image:Microscopy,D008853,"E01.370.350.515, E05.595, H01.671.617.562","The use of instrumentation and techniques for visualizing material and details that cannot be seen by the unaided eye. It is usually done by enlarging images, transmitted by light or electron beams, with optical or magnetic lenses that magnify the entire image field. With scanning microscopy, images are generated by collecting output from the specimen in a point-by-point fashion, on a magnified scale, as it is scanned by a narrow beam of light or electrons, a laser, a conductive probe, or a topographical probe.","Provide images or video taken through microscope, and any data collected while using the microscope as Tabular Data",XX
Image:Photography,D010781,"E01.370.350.600, E05.712",Method of making images on a sensitized surface by exposure to light or other radiant energy.,XX,XX
Image:Radiography,D011859,E01.370.350.700,"Examination of any part of the body for diagnostic purposes by means of X-RAYS or GAMMA RAYS, recording the image on a sensitized surface (such as photographic film).",XX,XX
"Image:Tomography, Optical Coherence",D041623,"E01.370.350.589.249.500, E01.370.350.825.805.500, E05.642.249.500","An imaging method using LASERS that is used for mapping subsurface structure. When a reflective site in the sample is at the same optical path length (coherence) as the reference mirror, the detector observes interference fringes.",XX,XX
"Image:Tomography, X-Ray Computed",D014057,"E01.370.350.350.810, E01.370.350.600.350.700.810, E01.370.350.700.700.810, E01.370.350.700.810.810, E01.370.350.825.810.810",Tomography using x-ray transmission and a computer algorithm to reconstruct the image.,XX,XX
Image:Ultrasonography,D014463,E01.370.350.850,The visualization of deep structures of the body by recording the reflections or echoes of ultrasonic pulses directed into the tissues. Use of ultrasound for imaging or diagnostic purposes employs frequencies ranging from 1.6 to 10 megahertz.,XX,XX
Mass Spectrometry,D013058,E05.196.566,An analytical method used in determining the identity of a chemical based on its mass using mass analyzers/mass spectrometers.,XX,XX
Mass Spectrometry:Gas Chromatography-Mass Spectrometry,D008401,"E05.196.181.349.500, E05.196.566.500",A microanalytical technique combining mass spectrometry and gas chromatography for the qualitative as well as quantitative determinations of compounds.,XX,XX
Mass Spectrometry:Liquid Chromatography-Mass Spectrometry,XX,XX,https://en.wikipedia.org/wiki/Liquid_chromatography%E2%80%93mass_spectrometry,XX,XX
"Mass Spectrometry:Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization",D019032,E05.196.566.755,"A mass spectrometric technique that is used for the analysis of large biomolecules. Analyte molecules are embedded in an excess matrix of small organic molecules that show a high resonant absorption at the laser wavelength used. The matrix absorbs the laser energy, thus inducing a soft disintegration of the sample-matrix mixture into free (gas phase) matrix and analyte molecules and molecular ions. In general, only molecular ions of the analyte molecules are produced, and almost no fragmentation occurs. This makes the method well suited for molecular weight determinations and mixture analysis.",XX,XX
Mass Spectrometry:Thermal ionization,XX,XX,https://en.wikipedia.org/wiki/Thermal_ionization_mass_spectrometry,XX,XX
Protein Data:Molecular Sequence Annotation,D058977,"E05.393.760.479, L01.453.245.667.580",The addition of descriptive information about the function or structure of a molecular sequence to its MOLECULAR SEQUENCE DATA record.,XX,XX
Protein Data:Proteome,D020543,D12.776.817,The protein complement of an organism coded for by its genome.,XX,XX
Protein Data:Sequence Alignment,D016415,E05.393.751,The arrangement of two or more amino acid or base sequences from an organism or organisms in such a way as to align areas of the sequences sharing common properties. The degree of relatedness or homology between the sequences is predicted computationally or statistically based on weights assigned to the elements aligned between the sequences. This in turn can serve as a potential indicator of the genetic relatedness between the organisms.,XX,XX
Real-Time Polymerase Chain Reaction,D060888,E05.393.620.500.706,Methods used for detecting the amplified DNA products from the polymerase chain reaction as they accumulate instead of at the end of the reaction,XX,XX
Sound data,D013016,G01.750.770.776,"A type of non-ionizing radiation in which energy is transmitted through solid, liquid, or gas as compression waves. Sound (acoustic or sonic) radiation with frequencies above the audible range is classified as ultrasonic. Sound radiation below the audible range is classified as infrasonic.","Digital audio files should be saved as Free Lossless Audio Codec files (FLAC), or as Broadcast WAVE Audio File Format [BWF or BWAV] with uncompressed linear pulse-code modulation (PCM) saved at 96 or 48 kHz/24 bits.","Many different repositories host sound data; some are country and field specific, while others are more general. See re3data.org for a complete listing"
Sound data:Interview,D007406,F04.669.599,"Work consisting of a conversation with an individual regarding his or her background and other personal and professional details, opinions on specific subjects posed by the interviewer, etc.",XX,XX
"Spectrometry:Nuclear Magnetic Resonance, Biomolecular",D019906,E05.196.867.519.550,"NMR spectroscopy on small- to medium-size biological macromolecules. This is often used for structural investigation of proteins and nucleic acids, and often involves more than one isotope.",XX,XX
"Spectrometry:Spectrometry, Fluorescence",D013050,"E05.196.712.516.600.676, E05.196.867.726",Measurement of the intensity and quality of fluorescence.,XX,XX
"Spectrometry:Spectrometry, Force",XX,XX,https://en.wikipedia.org/wiki/Force_spectroscopy,XX,XX
"Spectrometry:Spectrometry, Ion Mobility",XX,XX,https://en.wikipedia.org/wiki/Ion-mobility_spectrometry,XX,XX
"Spectrometry:Spectrometry, Time Domain",XX,XX,https://en.wikipedia.org/wiki/Terahertz_time-domain_spectroscopy,XX,XX
"Spectrometry:Spectrometry, X-Ray Emission",D013052,"E05.196.867.800, E05.799.830","The spectrometric analysis of fluorescent X-RAYS, i.e. X-rays emitted after bombarding matter with high energy particles such as PROTONS; ELECTRONS; or higher energy X-rays. Identification of ELEMENTS by this technique is based on the specific type of X-rays that are emitted which are characteristic of the specific elements in the material being analyzed. The characteristic X-rays are distinguished and/or quantified by either wavelength dispersive or energy dispersive methods.",XX,XX
Spectrometry:Spectrophotometry,D013053,"E05.196.712.726, E05.196.867.826",The art or process of comparing photometrically the relative intensities of the light in different parts of the spectrum.,XX,XX
"Spectrometry:Spectrophotometry, Atomic",D013054,"E05.196.712.726.551, E05.196.867.826.551",Spectrophotometric techniques by which the absorption or emmision spectra of radiation from atoms are produced and analyzed.,XX,XX
Spectrometry:Spectropolarimeter data,XX,XX,https://en.wikipedia.org/wiki/Polarimetry,XX,XX
"Spectrometry:Spectroscopy, Fourier Transform Infrared",D017550,"E05.196.712.726.676.700, E05.196.867.826.676.700",A spectroscopic technique in which a range of wavelengths is presented simultaneously with an interferometer and the spectrum is mathematically derived from the pattern thus obtained.,XX,XX
"Spectrometry:Spectroscopy, Photon Correlation",XX,XX,https://en.wikipedia.org/wiki/Dynamic_light_scattering,XX,XX
"Spectrometry:Spectrum Analysis, Raman",D013059,"E05.196.822.860, E05.196.867.890",Analysis of the intensity of Raman scattering of monochromatic light as a function of frequency of the scattered light.,XX,XX
Spectrometry:X-Ray Absorption Spectroscopy,D056928,E05.196.867.972,Analysis of the energy absorbed across a spectrum of x-ray energies/wavelengths to determine the chemical structure and electronic states of the absorbing medium.,XX,XX
Spectrum Analysis,D013057,E05.196.867,"The measurement of the amplitude of the components of a complex waveform throughout the frequency range of the waveform. (McGraw-Hill Dictionary of Scientific and Technical Terms, 6th ed)","The spectra for each sample should be concatenated into tabular data <link to Tabular Data>. The table should list the dilution factor and other loading data for each sample. A separate .txt file should provide detailed information on the machine itself, including make, model, software versions, and the settings used during sample collection. ","Atmospheric spectroscopy data should be added to HITRAN (https://hitran.org/), spectrometry data from other fields can be added to any other repository able to host generic file types (e.g. Dryad <https://datadryad.org/>, Zenodo, <https://zenodo.org/> and FigShare <https://figshare.com/>)"
Spirometry data,D013147,E01.370.386.700.750,Measurement of volume of air inhaled or exhaled by the lung.,XX,XX
Tabular data,XX,XX,"Tabular data consist of a table with rows and columns. Each cell of the table contains numbers or text. A sample table contains data about one or more entities gathered during a research project. These entities might be biological organisms, soil samples, ceramic dishes, or human organs. ","Tabular data should saved as a .txt or .csv file. The first row(s) should contain information about the dataset, such as the data file name, author, today's date, when the
data within the file were last modified, and companion file names. Please also state which symbol has been used to denote missing data (NA is preferred). Column headings should describe the content of each column and contain only numbers, letters, and underscores - no spaces or special characters. Lowercase letters are preferred. Row names should be consistent with those used in the article and in other related datasets.  

For a sample table, the rows contain information about individual samples, and the columns contain the measured variables and other information. Sample tables must contain detailed information about exactly when and where each sample was obtained, and columns indicating any subgroup each sample belongs to (e.g. 'sand dunes', or 'control group').","Many repositories are suitable for tabular data. Your institution, journal, or funder may recommend specific repositories, otherwise Dryad <https://datadryad.org/>, Zenodo, <https://zenodo.org/> and FigShare <https://figshare.com/> are good choices."
Tabular data:Assay,XX,XX,A fairly simple biochemical test to quantify the presence or amount of a molecule of interest.,"Tabular data containing the data collected during the assay. If a gel was used for separation of molecules of interest, a photo of the gel should be provided","Many repositories are suitable for tabular data. Your institution, journal, or funder may recommend specific repositories, otherwise Dryad <https://datadryad.org/>, Zenodo, <https://zenodo.org/> and FigShare <https://figshare.com/> are good choices."
Tabular data:Fluorometry,D005470,E05.196.712.516.596,"An analytical method for detecting and measuring FLUORESCENCE in compounds or targets such as cells, proteins, or nucleotides, or targets previously labeled with FLUORESCENCE AGENTS.",XX,"Many repositories are suitable for tabular data. Your institution, journal, or funder may recommend specific repositories, otherwise Dryad <https://datadryad.org/>, Zenodo, <https://zenodo.org/> and FigShare <https://figshare.com/> are good choices."
Tabular data:Immunoassay,D007118,"E05.478.566, E05.601.470",A technique using antibodies for identifying or quantifying a substance. Usually the substance being studied serves as antigen both in antibody production and in measurement of antibody by the test substance.,XX,"Many repositories are suitable for tabular data. Your institution, journal, or funder may recommend specific repositories, otherwise Dryad <https://datadryad.org/>, Zenodo, <https://zenodo.org/> and FigShare <https://figshare.com/> are good choices."
Tabular data:Research Subjects,D035842,M01.774,***Persons who are enrolled in research studies or who are otherwise the subjects of research.,XX,"Many repositories are suitable for tabular data. Your institution, journal, or funder may recommend specific repositories, otherwise Dryad <https://datadryad.org/>, Zenodo, <https://zenodo.org/> and FigShare <https://figshare.com/> are good choices."
Tabular data:Sampling Studies,D012494,"E05.318.372.875, N05.715.360.330.875, N06.850.520.450.875",***Studies in which a number of subjects are selected from all subjects in a defined population. Conclusions based on sample results may be attributed only to the population sampled.,XX,"Many repositories are suitable for tabular data. Your institution, journal, or funder may recommend specific repositories, otherwise Dryad <https://datadryad.org/>, Zenodo, <https://zenodo.org/> and FigShare <https://figshare.com/> are good choices."
Tabular data:Surveys and Questionnaires,D011795,"E05.318.308.980, N05.715.360.300.800, N06.850.520.308.980","Collections of data obtained from voluntary subjects. The information usually takes the form of answers to questions, or suggestions.",XX,"Many repositories are suitable for tabular data. Your institution, journal, or funder may recommend specific repositories, otherwise Dryad <https://datadryad.org/>, Zenodo, <https://zenodo.org/> and FigShare <https://figshare.com/> are good choices."
Video Recording,D014741,L01.280.960,The storing or preserving of video signals to be played back later via a transmitter or receiver.,"Video should be preserved in a MXF container format, with uncompressed YCbCr or JPEG2000 lossless encoding (codecs). A 640:480 resolution is preferred, with a 4:4:4 sampling scheme, 30 bit sampling scheme, progressive scanning and a 30 MBps data rate. An alternative minimum is Audio Video Interleave [AVI] or QuickTime [MOV] container format with H.264/MPEG-4 AVC or DV encoding (codecs).","Many different repositories host video data; some are country and field specific, while others are more general. See re3data.org for a complete listing"
Voltammetry data,XX,XX,https://en.wikipedia.org/wiki/Voltammetry,XX,XX
X-Ray Diffraction data,D014961,"E05.196.309.742, E05.196.822.950, G01.867.950, G02.965","The scattering of x-rays by matter, especially crystals, with accompanying variation in intensity due to interference effects. Analysis of the crystal structure of materials is performed by passing x-rays through them and registering the diffraction image of the rays (CRYSTALLOGRAPHY, X-RAY). (From McGraw-Hill Dictionary of Scientific and Technical Terms, 4th ed)",XX,XX
X-Ray fluorescence data,XX,XX,https://en.wikipedia.org/wiki/X-ray_fluorescence,XX,XX
